etf_ticker,etf_name,company,company_ticker,weight_pct,as_of_date,holdings_source
GDX,VanEck Gold Miners ETF,Newmont Corp,NEM,11.11,2026-09-24,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/ (official holdings table)
GDX,VanEck Gold Miners ETF,Agnico Eagle Mines Ltd,AEM,10.98,2026-09-24,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/ (official holdings table)
GDX,VanEck Gold Miners ETF,Barrick Mining Corp,B,7.75,2026-09-24,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/ (official holdings table)
GDX,VanEck Gold Miners ETF,Wheaton Precious Metals Corp,WPM,5.64,2026-09-24,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/ (official holdings table)
GDX,VanEck Gold Miners ETF,Franco-Nevada Corp,FNV,5.22,2026-09-24,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/ (official holdings table)
GDX,VanEck Gold Miners ETF,AngloGold Ashanti Plc,AU,4.83,2026-09-24,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/ (official holdings table)
GDX,VanEck Gold Miners ETF,Kinross Gold Corp,KGC,4.13,2026-09-24,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/ (official holdings table)
GDX,VanEck Gold Miners ETF,Gold Fields Ltd,GFI,4.01,2026-09-24,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/ (official holdings table)
GDX,VanEck Gold Miners ETF,Pan American Silver Corp,PAAS,2.67,2026-09-24,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/ (official holdings table)
GDX,VanEck Gold Miners ETF,Northern Star Resources Ltd,NST.AX,2.51,2026-09-24,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/ (official holdings table)
GDX,VanEck Gold Miners ETF,Coeur Mining Inc,CDE,2.18,2026-09-24,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/ (official holdings table)
GDX,VanEck Gold Miners ETF,Royal Gold Inc,RGLD,2.00,2026-09-24,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/ (official holdings table)
