mine_name,country,latitude,longitude,confidence,source
"15-Mile (Hudson, Egerton-Maclean, 149 East Zone, Plenty deposit)","Nova Scotia, Canada",,,none,none
15-Mile (Plenty deposit and Seloam Brook prospect),"Nova Scotia, Canada",,,none,none
ABC Project,Côte d'Ivoire,,,none,none
Abercromby Well,Australia,,,none,none
Abujar Gold Mine,Côte d'Ivoire,6.91976,-6.713625,high,nominatim
Ada Tepe,Bulgaria,,,none,none
Adak,Sweden,65.352164,18.597745,medium,nominatim
Afema Gold Project,Côte d'Ivoire,,,none,none
Aga Khan,Australia,,,none,none
AGA Mineração,Brazil,,,none,none
Agbaou,Côte d'Ivoire,6.096394,-5.229655,high,nominatim
Agnew,Australia,-27.995687,120.501161,high,nominatim
Ahafo North,Ghana,7.168837,-2.100249,medium,nominatim
Ahafo South,Ghana,7.181951,-2.028834,medium,nominatim
Aitik,Sweden,67.071166,20.952859,high,nominatim
Akarca,Türkiye,37.567704,35.636228,medium,nominatim
Akasaba West,Canada,,,none,none
Akasaba West,"Val d'Or, Canada",,,none,none
Akerberg,Sweden,65.050162,20.720687,medium,nominatim
Akyem,Ghana,5.251653,-1.979798,medium,nominatim
Aljustrel,Portugal,37.890325,-8.196352,medium,nominatim
Alluvials,Russia,,,none,none
Almas,Brazil,-18.006193,-45.872031,high,nominatim
Alpamarca,Peru,-7.976774,-77.520714,medium,nominatim
Altar,Argentina,-36.784397,-59.875716,medium,nominatim
Amacan Project (AAMRC),Philippines,,,none,none
Amalgamated Kirkland,"Kirkland Lake, Canada",,,none,none
Amulsar,Armenia,,,none,none
Andacollo,Chile,-30.232205,-71.084756,medium,nominatim
Anglo/Zeke,"Nevada, U.S.A.",,,none,none
AntaKori,Peru,,,none,none
Antamina,Peru,-9.553994,-77.047631,high,nominatim
Antapaccay,Peru,-14.947653,-71.379687,medium,nominatim
Anthiby Well,Australia,,,none,none
Apoena (EPP),Brazil,,,none,none
Aranzazu,Mexico,19.359906,-99.149208,medium,nominatim
Arcata,Peru,-14.987053,-72.300612,high,nominatim
Arctic,USA,38.61935,-120.57076,high,nominatim
Arthur (Expanded Silicon),United States,,,none,none
Arthur Gold Project (sold),United States (Nevada),,,none,none
Arthur Gold Project,United States (Nevada),,,none,none
Arthur Gold,United States,38.562257,-121.51118,medium,nominatim
Asanko Gold Mine,Ghana,,,none,none
Ashburton,Australia,-22.130131,116.760872,medium,nominatim
Asientos,Mexico,22.132107,-102.095256,medium,nominatim
Assafou,Côte d'Ivoire,6.734122,-5.047515,medium,nominatim
Atlantic (Touquoy),Canada,,,none,none
ATO,Mongolia,,,none,none
Auramet,United States,,,none,none
Aureus East Mine,"Nova Scotia, Canada",,,none,none
Aurizona,Brazil,-1.274368,-45.770783,medium,nominatim
AurMac,Canada,,,none,none
Aurora,Guyana,7.003474,-58.491774,medium,nominatim
Avino Mine,Mexico,,,none,none
Azuca,Peru,,,none,none
Back Forty,USA,34.997194,-92.042894,medium,nominatim
Back River Gold District,Canada,,,none,none
Bakan Mine (JRBM),Indonesia,,,none,none
Bald Mountain,United States,39.941,-115.541,high,nominatim
Bald Mountain,USA,39.941,-115.541,high,nominatim
Ballarat,Australia,-37.515116,143.854624,high,nominatim
Balya,Türkiye,39.749865,27.579661,medium,nominatim
Bamble,Norway,59.018085,9.544313,medium,nominatim
Bancroft,Canada,45.057077,-77.853713,medium,nominatim
Bankan Gold Project,Guinea,,,none,none
Barabolar Surrounds,Australia,,,none,none
Barberton Mines,South Africa,-25.726314,31.068639,high,nominatim
Barberton Tailings Retreatment Plant (BTRP),South Africa,,,none,none
Barsele,Sweden,65.046247,17.445696,medium,nominatim
Batu Hijau,Indonesia,-8.972755,116.87108,high,nominatim
Beaudoin,"Timmins, Canada",49.535692,-78.611906,medium,nominatim
Bellevue Gold Mine,Australia,,,none,none
Bendigo-Ophir Gold Project,New Zealand,,,none,none
Berenguela,Peru,,,none,none
Beschefer,Canada,49.867055,-78.846128,medium,nominatim
Beta Hunt,Australia,-31.219741,121.678485,high,nominatim
Bibiani,Ghana,6.474773,-2.297905,high,nominatim
Big Island,"Flin Flon, Canada",62.709578,-70.604281,medium,nominatim
Big Springs,Nevada,41.572962,-115.98481,high,nominatim
Bilboes (oxide operation),Zimbabwe,,,none,none
Bint Property,"Timmins, Canada",,,none,none
Birch/Uchi multiple groups,"Canada, Ontario",,,none,none
Biricu,"Guerrero, Mexico",,,none,none
Björkdal Gold Mine,Sweden,,,none,none
Blabarliden,Sweden,65.178576,17.63545,medium,nominatim
Black Fox,Canada,48.530547,-80.327923,high,nominatim
Black Pine,United States,46.448491,-113.369443,high,nominatim
Black Ridge (Carlin East),"Nevada, U.S.A.",,,none,none
Blackwater,Canada,53.173698,-124.863562,high,nominatim
Blackwater,Canada (British Columbia),53.173698,-124.863562,high,nominatim
Blagodatnoye,Russia,,,none,none
Blanket Mine,Zimbabwe,-20.860712,28.909554,high,nominatim
Blyvoor,South Africa,-33.967567,18.541034,medium,nominatim
"BMP (Bonanza Mining Partners), Nicaragua",Nicaragua,,,none,none
Boddington,Australia,-32.759463,116.349386,high,nominatim
Bolanitos,Mexico,21.623866,-103.404863,medium,nominatim
Bolañitos,Mexico,21.623866,-103.404863,medium,nominatim
Boliden Area,Sweden,,,none,none
Bolivar,Bolivia,-18.013341,-66.63559,medium,nominatim
Bomboré,Burkina Faso,12.206035,-0.905316,high,nominatim
Bonikro,Cote d’Ivoire,6.386756,-5.22592,medium,nominatim
Bonikro,Côte d'Ivoire,6.386756,-5.22592,medium,nominatim
Bonikro,Côte d’Ivoire,6.386756,-5.22592,medium,nominatim
Bor (Serbia Zijin Copper),Serbia,,,none,none
Borborema,Brazil,-21.621271,-49.074135,medium,nominatim
Borden,Canada,52.405065,-107.23865,medium,nominatim
Bornite,USA,33.540354,-105.819433,high,nominatim
Bottle Creek,"USA, Nevada",30.980495,-87.924286,medium,nominatim
Boulevard,"Yukon, Canada",49.145846,-122.643752,medium,nominatim
Boumadine,Morocco,,,none,none
Bowdens Silver Project,Australia,,,none,none
Bowdens,Australia,-43.53297,146.95213,medium,nominatim
Bralorne,Canada,50.770566,-122.802251,medium,nominatim
Brauna,Brazil,-21.524851,-42.859781,high,nominatim
"Brazil Operations (Aurizona, Bahia Complex, RDM)",Brazil,,,none,none
Braúna,Brazil,-21.524851,-42.859781,high,nominatim
Brewery Creek,Canada,49.495979,-115.05154,medium,nominatim
Brightstar Alpha,Australia,,,none,none
British Hill Gold Project,Australia,,,none,none
British King,Australia,,,none,none
Broken Hill,Australia,-31.948553,141.485198,high,nominatim
Brooks,"USA, Nevada",41.400561,-75.64321,high,nominatim
Bruce Lake - Pakwash North,"Canada, Ontario",,,none,none
Brucejack,Canada,56.465647,-130.18452,high,nominatim
Buckreef,Tanzania,-3.095407,32.018645,high,nominatim
Bulgera,Australia,,,none,none
Bullabulling Gold Project,Australia,,,none,none
Bullabulling,Australia,-31.040219,120.966717,high,nominatim
Bulong / Myhree,Australia,,,none,none
Bulyanhulu,Tanzania,-3.228028,32.488593,high,nominatim
Bunker Hill,USA,39.117688,-119.675176,high,nominatim
Buriticá,Colombia,6.719853,-75.906871,medium,nominatim
BYP Mine,China (Hunan Province),,,none,none
Caballo Blanco Group,Bolivia,,,none,none
Cabaçal,Brazil,-20.499704,-45.796057,high,nominatim
Cactus,Arizona,34.283908,-113.694656,high,nominatim
Cactus,United States,39.982763,-105.186098,high,nominatim
Cadia,Australia,-33.444806,149.001117,medium,nominatim
Caldera,"Nevada, U.S.A.",40.506357,-105.062304,medium,nominatim
Camflo Mine,"Val d'Or, Canada",,,none,none
Camino Rojo,Mexico,19.30856,-99.168782,medium,nominatim
Campo Morado,Mexico,18.894086,-99.1432,medium,nominatim
Canada exploration royalties (grouped),Canada,,,none,none
Canadian Malartic Complex,Canada,,,none,none
Canadian Malartic,Canada,48.117617,-78.094163,high,nominatim
Candelaria,Chile,-37.473244,-72.48251,medium,nominatim
Cangrejos,Ecuador,-0.158231,-78.438736,medium,nominatim
Canzhuang Gold Mine,China,,,none,none
Cap-Oeste Sur East Mine,"Santa Cruz, Argentina",,,none,none
Capela,Mexico,25.638062,-100.278243,medium,nominatim
Capricho,Peru,-6.746007,-79.866558,medium,nominatim
Carajás,Brazil,-18.930867,-48.249111,high,nominatim
Carangas,Bolivia,-18.383029,-67.799623,medium,nominatim
Cardinia (Lewis deposit),Australia,,,none,none
Cariboo,Canada,52.355087,-122.992791,medium,nominatim
Carlin,United States,39.738599,-105.559999,high,nominatim
Carlota,USA,33.382416,-110.995519,high,nominatim
Carosue Dam,Australia,-30.154689,122.351235,high,nominatim
Casa Berardi,Canada,49.573139,-79.294638,high,nominatim
Casa Berardi,Canada (Quebec),49.573139,-79.294638,high,nominatim
Cascabel,Ecuador,-0.192775,-77.743249,medium,nominatim
Caserones,Chile,-28.153852,-69.787769,medium,nominatim
Casino,Canada,49.056869,-117.655902,medium,nominatim
Castle Hill,Australia,-33.731752,151.006928,medium,nominatim
Castle Mountain (South Dome),California,,,none,none
Castle Mountain,USA,35.281,-115.102,high,nominatim
Cathedral Well,"USA, Nevada",,,none,none
Caylloma,Peru,-15.734092,-71.753621,medium,nominatim
CC&V (Cripple Creek & Victor),United States,,,none,none
Central Plant Reclamation,South Africa,,,none,none
Century,"USA, Idaho",39.73721,-105.603334,high,nominatim
Cerro Bayo Silver-Gold Project,Chile,,,none,none
Cerro Corona,Peru,-6.763723,-78.638815,high,nominatim
Cerro de Oro,Mexico,21.368056,-97.646667,medium,nominatim
Cerro de Pasco - Sulfuros,Peru,,,none,none
Cerro de Pasco - Óxidos,Peru,,,none,none
Cerro Leon Silver-Gold-Lead-Zinc Project,Argentina,,,none,none
Cerro Lindo,Peru,-13.086756,-75.993815,medium,nominatim
Cerro Los Gatos,Mexico,23.69393,-110.110411,medium,nominatim
Cerro Moro,Argentina,-31.672221,-64.478037,medium,nominatim
Cerro Negro,Argentina,-37.111039,-70.71885,high,nominatim
Cerro Vanguardia,Argentina,-48.38646,-68.311142,medium,nominatim
Cerro Verde,Peru,-16.451358,-71.613915,medium,nominatim
CEZinc,Canada,45.23472,-74.108896,medium,nominatim
Challacollo,Chile,-20.960002,-69.345006,medium,nominatim
Challis,USA,44.505132,-114.23137,medium,nominatim
Chapada,Brazil,-21.421371,-45.942485,high,nominatim
Chapi,Peru,-14.628149,-69.3475,medium,nominatim
Chatree,Thailand,16.289555,100.651568,high,nominatim
Chelopech,Bulgaria,,,none,none
Chertovo Koryto,Russia,,,none,none
Chirano,Ghana,6.309138,-2.37411,high,nominatim
Chuangjin,China,,,none,none
Chulbatkan,Russia,,,none,none
Chungar,Peru,-11.121821,-76.532171,medium,nominatim
Cinnamon,Australia,-37.847946,145.246657,medium,nominatim
Ciénega,Mexico,18.046944,-96.988333,medium,nominatim
CK Gold,USA,38.746655,-105.159703,low,nominatim
Cloudkicker,Australia,,,none,none
CMA Underground,Côte d'Ivoire,,,none,none
"CMP (Contract Mining Partners), Colombia",Colombia,,,none,none
CNMC Pulai Project,Malaysia,,,none,none
Cobre Panama,Panama,9.017034,-80.692017,medium,nominatim
Coffee,Canada,,,none,none
Coimolache,Peru,-7.159871,-78.510047,medium,nominatim
Coka Rakita,Serbia,,,none,none
Colbert/Anglo,"Timmins, Canada",,,none,none
Colla Kananchiari,Chile,,,none,none
Colosseum Gold and Rare Earth Element (REE) Project,USA,,,none,none
Comet Gold,Australia,-21.231782,119.72526,high,nominatim
Concheño,Mexico,29.04453,-107.090663,medium,nominatim
Condestable,Peru,-12.697377,-76.591799,high,nominatim
Confederation Lake - Dixie Lake 17-18-19,"Canada, Ontario",,,none,none
Confederation South - Dixie Lake 2,"Canada, Ontario",,,none,none
Confederation South - Dixie Lake 3,"Canada, Ontario",,,none,none
Constancia,Peru,-6.496269,-76.783527,medium,nominatim
Converse,United States (Nevada),38.906097,-107.615057,high,nominatim
Copper King,Canada,56.597004,-130.624289,medium,nominatim
Copper King,"USA, Arizona",36.911129,-119.445779,high,nominatim
Copper Springs,"USA, Arizona",33.673713,-86.440816,medium,nominatim
Copper Warrior,"USA, Utah",,,none,none
Copper World and Rosemont,USA,,,none,none
Copper World,United States,31.86064,-110.767584,high,nominatim
Copperstone,United States,33.8696,-114.295841,high,nominatim
Copperwood,USA,40.005001,-83.164949,medium,nominatim
Corani,Peru,-13.868493,-70.604659,medium,nominatim
Cordero,Mexico,27.23934,-105.612757,medium,nominatim
Cortez,United States,40.14992,-116.592861,high,nominatim
Cosalá Operations,Mexico,,,none,none
Costerfield Mine,Australia,,,none,none
Cotabambas,Peru,-14.0,-72.2,medium,nominatim
Cote Gold,Canada,47.556292,-81.892446,medium,nominatim
Courageous Lake,Canada,64.155425,-111.082459,medium,nominatim
Cowal,Australia,-33.638553,147.386559,high,nominatim
Coyote,Australia,-19.895353,128.830909,high,nominatim
Cozamin,Mexico,,,none,none
Crawford,Australia,-26.493556,151.803529,medium,nominatim
Cripple Creek & Victor (CC&V),United States,,,none,none
Crown Prince Gold Mine,Australia,,,none,none
CSA,Australia,-31.408209,145.800686,high,nominatim
CSH,China (Inner Mongolia),,,none,none
Cuddy Mountain,"USA, Idaho",44.784324,-116.791551,medium,nominatim
Cuiú Cuiú,Brazil (Pará),-5.941881,-56.555628,medium,nominatim
Curlew Basin (Curlew),United States,,,none,none
Curraghinalt,United Kingdom (Northern Ireland),54.724006,-7.102969,medium,nominatim
Côté and Gosselin,"Gogama, Canada",,,none,none
Côté Gold,Canada,47.556292,-81.892446,medium,nominatim
Côté,Canada,51.540093,-63.563698,medium,nominatim
Dairi Prima Mineral,Indonesia,,,none,none
Dalgaranga,Australia,-27.710878,117.217273,high,nominatim
Damang,Ghana,5.514858,-1.839653,high,nominatim
Dandoko,Mali,12.681655,-11.092584,medium,nominatim
Daqinjia Mining,China,,,none,none
Dash Lake,"Canada, Ontario",49.087627,-93.628466,medium,nominatim
Dayingezhuang Gold Mine,China,,,none,none
De Xing,China,22.26428,114.24042,low,nominatim
Deer Trail,United States,48.035164,-118.095534,high,nominatim
Deflector,Australia,-28.667974,116.359151,medium,nominatim
Del Toro,Mexico,19.034853,-96.137076,medium,nominatim
DeLamar,United States,37.461908,-114.768892,high,nominatim
DeSantis Mine,"Timmins, Canada",,,none,none
Detour DNA,"Cochrane, Canada",,,none,none
Detour Lake,Canada,50.014647,-79.727023,high,nominatim
Diablillos,Argentina,-25.306423,-66.801221,medium,nominatim
Diavik,Canada,64.485192,-110.291483,high,nominatim
Didipio,Philippines,16.33514,121.458134,medium,nominatim
Dingo Range,Australia,-29.667758,152.224475,medium,nominatim
Dishui Copper Mine,China,,,none,none
Dixie Halo,"Canada, Ontario",,,none,none
Dolores,Mexico,30.495369,-110.683626,medium,nominatim
Dolphin Tungsten,Australia,-40.05348,144.05988,high,nominatim
Dongfeng Mine,China,,,none,none
Donlin Gold,United States,62.047439,-158.179966,high,nominatim
Doornkop,South Africa,-26.243611,27.806944,medium,nominatim
Doropo Project,Côte d'Ivoire,,,none,none
Doup Project,Indonesia,,,none,none
Dugbe,Liberia,4.98058,-8.677343,medium,nominatim
"Duketon (Garden Well, Rosemont, Moolart Well)",Australia,,,none,none
Duketon,Australia,-32.032851,115.980469,medium,nominatim
Dumont,Canada,48.130404,-69.830556,medium,nominatim
Dundonald,Canada,52.146918,-106.727112,medium,nominatim
Duobaoshan,China (Heilongjiang),,,none,none
Duquesne,Canada,45.052719,-79.616228,medium,nominatim
E&L Nickel Mountain,"Canada, British Columbia",,,none,none
Eagle Gold,Canada,52.757636,-108.270114,medium,nominatim
Eagle River,Canada,47.985916,-85.46148,high,nominatim
Eagle,Canada,64.029544,-135.856003,high,nominatim
Ear Falls,"Canada, Ontario",50.640752,-93.236847,medium,nominatim
Eastmain Gold Project,Canada,,,none,none
Edikan,Ghana,5.958372,-1.931596,medium,nominatim
Edna May Gold Project,Australia,,,none,none
Edna May Hub,Australia,,,none,none
Edwards Mine,"Wawa, Canada",,,none,none
Efemçukuru,Turkey,38.280747,26.968467,medium,nominatim
El Alto,Chile/Argentina,-33.642868,-71.545918,medium,nominatim
El Brocal (Colquijirca),Peru,,,none,none
El Compas,Mexico (Zacatecas),25.691546,-103.380586,medium,nominatim
El Coronel,Mexico,28.853356,-103.543785,medium,nominatim
El Cubo,Mexico,29.227336,-106.928401,medium,nominatim
El Domo (Curipamba),Ecuador,,,none,none
El Domo,Ecuador,-0.231441,-78.398798,medium,nominatim
El Gallo,Mexico,20.189811,-98.618206,medium,nominatim
El Limón,Nicaragua,12.75127,-86.73824,high,nominatim
El Mochito,Honduras,15.802373,-85.935743,medium,nominatim
El Mogote,"Mexico, Durango",28.674606,-106.144268,medium,nominatim
El Molino,,,,none,none
El Peñon,Chile,-23.694075,-70.408373,medium,nominatim
El Pilar,Mexico,22.071787,-101.095406,medium,nominatim
El Realito,"Sonora, Mexico",29.08836,-110.862187,medium,nominatim
El Tigre (Stockwork Zone open pit),Mexico,,,none,none
El Tigre (Underground),Mexico,,,none,none
Elang,Indonesia,1.102215,104.078716,medium,nominatim
Electric Dingo,Australia,,,none,none
Eleonore,Canada,52.702801,-76.069122,high,nominatim
Elephant Head,Canada,53.208826,-128.881248,medium,nominatim
ELG Mine Complex,Mexico,,,none,none
Elikhulu,South Africa,-26.490197,29.084524,medium,nominatim
Endako,Canada,54.036283,-125.111524,high,nominatim
Endeavor Mine,"NSW, Australia",-31.219113,145.628626,high,nominatim
Energy interests,United States/Canada,,,none,none
Era Dorada,Guatemala,,,none,none
Ergo,South Africa,-26.223947,28.067812,medium,nominatim
Erickson Ridge,"USA, Idaho",39.519599,-106.868402,medium,nominatim
Ermitaño,Mexico,19.344381,-99.160686,medium,nominatim
Ermitaño,Mexico (Sonora),19.344381,-99.160686,medium,nominatim
Ernest Henry,Australia,-20.454677,140.718301,high,nominatim
Eskay Creek,Canada,56.630613,-130.42405,medium,nominatim
Eskay Creek,Canada (British Columbia),56.630613,-130.42405,medium,nominatim
Espedalen,Norway,61.268041,5.326279,medium,nominatim
Esperanza,Mexico,18.857237,-97.349929,medium,nominatim
Essakane,Burkina Faso,14.398549,0.026844,high,nominatim
Estrades,Canada,46.006438,-73.413283,medium,nominatim
Evaluation and exploration properties (long tail),Various,,,none,none
Evander Mines (surface sources),South Africa,,,none,none
Evander Mines (underground),South Africa,,,none,none
Exploration properties — other mining (long tail),Various,,,none,none
Exploration properties — precious metals (long tail),Various,,,none,none
Exploration/development properties — energy (long tail),Various,,,none,none
Faina,Brazil,-15.445801,-50.363383,medium,nominatim
Fairchild Lake,"Canada, Ontario",64.976276,-133.771752,medium,nominatim
Far West Gold Recoveries (FWGR),South Africa,,,none,none
Federation Mine,Australia,,,none,none
